stmt_id,ckt_id
114360,106443
201905,95499
115858,48817
37741,183132
150537,229799
194237,281850
145979,273052
156288,298686
36485,285819
83508,2386
131900,216111
181382,53390
140078,234781
75535,69921
39781,14771
226725,305879
93062,298747
66244,289456
127226,6222
25602,300720
57354,17789
163355,250355
144532,227279
169612,154751
230964,127069
17950,272990
67764,157074
151289,254741
154942,259942
76168,325473
89500,105399
216210,268998
75437,898
32604,100512
161103,253663
161079,277959
110346,79005
16604,78004
179442,59820
130557,266669
69140,208991
98631,38778
215207,55387
162094,220973
81493,215979
235677,220939
93229,96217
132560,175188
129905,60637
167588,149497
34574,54534
46195,248741
235135,190311
20029,151445
101036,291371
9750,301686
39284,5011
176250,9731
78857,69949
184713,319555
20462,228865
198330,101906
52797,114949
186296,36827
88629,272942
118452,323071
78501,156116
115988,27289
109073,75532
134939,97764
121363,217213
116209,316025
10339,180699
45956,1873
166172,264053
53507,86752
86140,243663
231705,141139
206482,308446
172075,18736
62352,104482
111036,151353
202750,77870
141991,129565
35896,238401
211607,308510
145954,315885
81749,86801
119174,84052
239470,151509
153846,84040
24267,220918
214092,107103
178108,23792
56661,132730
227746,245234
228245,49338
111575,155548
139908,203260
133085,293958
149940,252305
8037,286901
193262,184924
165530,203220
119632,32089
110642,140023
111780,52801
138204,29889
80485,155865
80971,305065
35351,208932
163001,309851
194660,208926
230231,216978
239657,78524
145059,78802
154247,281172
83332,202711
115243,214342
179949,9090
153791,44993
74971,148710
234131,47290
148277,59277
28636,164470
211681,225476
212998,144394
92871,35103
23515,301063
105556,31601
106280,31446
185776,22993
158511,222690
162878,297416
170812,300792
105484,19452
21511,216568
147708,327218
80001,233082
34904,154019
78628,307962
123688,137749
129230,225391
91774,197572
190817,72885
115496,316597
135045,187027
83116,60507
237696,68056
77174,8223
69887,148342
41572,126236
137365,135878
25571,280358
108660,165157
29214,158091
3796,102795
132952,270210
157193,291437
52171,243018
120059,7930
96046,137506
139120,282661
164419,60815
165179,276271
35016,303868
16772,262215
76255,147126
59661,187724
148686,190188
237130,253059
180498,28817
97175,117860
94738,54617
10969,68485
220882,166068
160590,238160
36823,228627
112066,150106
17718,232013
115904,150195
65433,296870
69914,183692
148219,296692
182238,283493
213288,7886
181185,284997
319,218851
51464,18777
101236,137502
27195,238064
5690,114875
97054,153314
64296,194519
64725,306853
206053,60599
55863,122441
170700,16333
87234,327787
183010,259879
70025,305737
14643,207331
94494,319731
150680,178434
70941,317755
114919,204217
176969,263794
48645,213407
190087,165946
16681,292382
46940,24078
211509,287737
123338,238003
195892,61571
23126,272513
232623,292640
213173,280450
64952,287506
139653,327005
86415,59856
122171,206612
117405,5938
185784,238836
201201,152908
10807,238655
184291,234340
124129,225729
63239,187773
64881,51980
129922,109436
13932,261067
102634,22607
193761,172984
117954,181849
63288,201437
179287,118643
61159,248893
211614,35274
50377,78926
22604,97958
191829,139150
75281,67033
114498,145640
137235,7231
230609,250517
118803,48610
197895,324271
184394,157437
173205,275176
1838,215446
84455,69424
39809,75344
178524,270167
35541,115678
41322,249424
42996,110944
167357,275380
182435,56887
218553,284729
179429,219876
220548,107814
3130,86398
235134,182643
132500,177074
